Euclidean Distance for Fulton County-Georgia; 2016,,,,,,,,,,,,
Data downloaded on 21-February-2024,,,,,,,,,,,,
Year,County_FIPS,County,State,Euclidean Distance,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Physical Inactivity (Percentage) ,"Dentists: Rate per 100,000 (Rate)",Dentists: Number (Number) ,"Primary Care Physicians: Rate per 100,000 (Rate)",Primary Care Physicians: Number (Number) ,No Health Insurance (Percent) 
2016,51560,Clifton Forge City,Virginia,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,9190,Western Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,9180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,9170,South Central Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,9160,Northwest Hills Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,9150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,9140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,9130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,9120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,9110,Capitol Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,2066,Copper River Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,16.01918465
2016,2063,Chugach Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,14.91501908
2016,6003,Alpine County,California,No Data,7.6,18.8,14.7,No Data,No Data,No Data,No Data,7.511210762
2016,5105,Perry County,Arkansas,No Data,8.2,24.4,17.6,No Data,No Data,19.36670863,2,9.797724399
2016,5101,Newton County,Arkansas,No Data,7.9,23.2,18.6,No Data,No Data,No Data,No Data,9.738041002
2016,5099,Nevada County,Arkansas,No Data,8.6,21.2,20.2,No Data,No Data,24.69440672,2,9.106802289
2016,5073,Lafayette County,Arkansas,No Data,8.5,23.7,20.2,No Data,No Data,30.32140691,2,13.33185939
2016,5025,Cleveland County,Arkansas,No Data,8.5,28.1,19.8,No Data,No Data,No Data,No Data,9.488309048
2016,5013,Calhoun County,Arkansas,No Data,7.8,18.5,20,No Data,No Data,19.55798944,1,11.74179188
2016,2164,Lake and Peninsula Borough,Alaska,No Data,8.4,23.9,18.5,No Data,No Data,No Data,No Data,21.30553037
2016,2105,Hoonah-Angoon Census Area,Alaska,No Data,8.8,22.2,15.4,No Data,No Data,No Data,No Data,16.54545455
2016,2068,Denali Borough,Alaska,No Data,7.8,22.2,13.4,No Data,No Data,No Data,No Data,13.51351351
2016,2060,Bristol Bay Borough,Alaska,No Data,9.4,24.9,23.4,119.3317422,1,No Data,No Data,17.20588235
2016,2013,Aleutians East Borough,Alaska,No Data,9,27.6,16.8,29.42907593,1,No Data,No Data,22.05982325
2016,1085,Lowndes County,Alabama,No Data,10.6,32.3,28.2,No Data,No Data,10.37236801,1,10.84447941
2016,1075,Lamar County,Alabama,No Data,10,24.6,26.4,21.91540653,3,No Data,No Data,11.91827469
2016,1063,Greene County,Alabama,No Data,10.9,27.6,19.3,No Data,No Data,50.06257822,4,11.24954857
2016,1037,Coosa County,Alabama,No Data,10.8,26.2,19.6,No Data,No Data,No Data,No Data,11.41282959
2016,1029,Cleburne County,Alabama,No Data,8,26.2,18.3,No Data,No Data,26.72546268,4,12.2548614
2016,2282,Yakutat City and Borough,Alaska,No Data,8.4,20.2,16.3,No Data,No Data,No Data,No Data,23.09090909
2016,2280,Wrangell-Petersburg Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,2270,Wade Hampton Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,2261,Valdez-Cordova Census Area,Alaska,No Data,8.5,30.4,15.8,52.24114513,5,117.6974107,11,No Data
2016,2232,Skagway-Hoonah-Angoon,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,2230,Skagway Municipality,Alaska,No Data,7.4,20.7,14.2,No Data,No Data,No Data,No Data,15.96638655
2016,2201,Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,12067,Lafayette County,Florida,No Data,11.6,32.9,30.3,No Data,No Data,11.78967225,1,20.7905276
2016,12043,Glades County,Florida,No Data,11.7,30.4,29.1,40.86970737,5,No Data,No Data,26.08173077
2016,8111,San Juan County,Colorado,No Data,7.1,18.8,13.8,No Data,No Data,No Data,No Data,19.63636364
2016,8095,Phillips County,Colorado,No Data,7.7,24.5,17.6,No Data,No Data,114.4950767,5,16.21465666
2016,8079,Mineral County,Colorado,No Data,6.8,17.9,13,No Data,No Data,129.3661061,1,9.96978852
2016,8061,Kiowa County,Colorado,No Data,7,22.9,18.7,No Data,No Data,No Data,No Data,8.172635445
2016,8057,Jackson County,Colorado,No Data,7.7,21.4,16,No Data,No Data,143.9884809,2,18.23587711
2016,8053,Hinsdale County,Colorado,No Data,6.9,18.2,14.2,No Data,No Data,No Data,No Data,14.78743068
2016,8047,Gilpin County,Colorado,No Data,6.8,18.8,15,No Data,No Data,32.07698476,2,6.17231936
2016,8027,Custer County,Colorado,No Data,5.9,20.5,16.5,No Data,No Data,19.29384526,1,9.4466524
2016,8025,Crowley County,Colorado,No Data,7.9,21.4,15.8,No Data,No Data,No Data,No Data,6.20124805
2016,8023,Costilla County,Colorado,No Data,9.2,22.3,16.6,No Data,No Data,No Data,No Data,13.56382979
2016,8017,Cheyenne County,Colorado,No Data,6.7,22,19.5,No Data,No Data,No Data,No Data,9.776751347
2016,8011,Bent County,Colorado,No Data,8,27.4,17.9,17.36412572,1,No Data,No Data,7.014276847
2016,13221,Oglethorpe County,Georgia,No Data,8,22.1,17.6,6.605019815,1,No Data,No Data,18.88365948
2016,13209,Montgomery County,Georgia,No Data,7.6,26.1,20.1,No Data,No Data,No Data,No Data,16.2966462
2016,13197,Marion County,Georgia,No Data,9,22.1,19.5,13.44086022,1,No Data,No Data,17.61432794
2016,13191,Mcintosh County,Georgia,No Data,8.3,20.4,16.7,26.97114088,3,No Data,No Data,17.60164694
2016,13183,Long County,Georgia,No Data,8,21.2,17.6,No Data,No Data,4.957612414,1,17.5084622
2016,13181,Lincoln County,Georgia,No Data,8.3,18.8,14.6,No Data,No Data,24.90349894,2,22.07997194
2016,13173,Lanier County,Georgia,No Data,9,20.9,19.4,10.09387302,1,No Data,No Data,14.63444256
2016,13165,Jenkins County,Georgia,No Data,8.2,19.7,16.5,No Data,No Data,34.30139492,3,17.93963918
2016,13149,Heard County,Georgia,No Data,7.2,20.5,15.3,No Data,No Data,16.70425123,2,17.46199324
2016,13125,Glascock County,Georgia,No Data,7.3,18.8,14.5,No Data,No Data,33.51206434,1,17.04111912
2016,13101,Echols County,Georgia,No Data,7.2,19.4,14.1,No Data,No Data,No Data,No Data,21.94584383
2016,13079,Crawford County,Georgia,No Data,8.1,19.7,15.9,No Data,No Data,8.175946366,1,17.61458333
2016,13061,Clay County,Georgia,No Data,8.5,21.3,19,No Data,No Data,34.89183531,1,18.50715746
2016,17071,Henderson County,Illinois,No Data,6.9,19.6,16.3,158.4283904,10,No Data,No Data,7.543103448
2016,17059,Gallatin County,Illinois,No Data,7.3,18.8,14.3,No Data,No Data,20.86375965,1,8.118971061
2016,17047,Edwards County,Illinois,No Data,7,20.5,15,16.46090535,1,No Data,No Data,7.523910733
2016,17035,Cumberland County,Illinois,No Data,7.3,19.7,14.3,9.666505558,1,No Data,No Data,6.477189558
2016,17009,Brown County,Illinois,No Data,7.2,18.6,14.6,No Data,No Data,15.27650474,1,3.83069917
2016,13007,Baker County,Georgia,No Data,8,20.5,16.1,No Data,No Data,No Data,No Data,17.49637506
2016,13003,Atkinson County,Georgia,No Data,8,20.3,18.2,11.91753069,1,No Data,No Data,26.27933277
2016,12077,Liberty County,Florida,No Data,11.2,36.6,34.8,25.3164557,2,No Data,No Data,15.99663229
2016,18155,Switzerland County,Indiana,No Data,9.1,26.6,21.1,10.2145046,1,No Data,No Data,10.04514673
2016,16037,Custer County,Idaho,No Data,6.3,23.5,18.2,22.58355917,1,No Data,No Data,12.07065751
2016,16033,Clark County,Idaho,No Data,7.1,20,15.2,No Data,No Data,No Data,No Data,27.3015873
2016,16025,Camas County,Idaho,No Data,7.1,19.6,15.1,No Data,No Data,No Data,No Data,16.51480638
2016,16023,Butte County,Idaho,No Data,6.7,21.5,22.3,No Data,No Data,37.79289494,1,10.08064516
2016,16015,Boise County,Idaho,No Data,7.8,23.7,15.6,No Data,No Data,24.79851209,2,11.48211244
2016,15005,Kalawao County,Hawaii,No Data,8.8,18.9,16,No Data,No Data,No Data,No Data,No Data
2016,13309,Wheeler County,Georgia,No Data,7.9,20.3,15.4,No Data,No Data,25.80312218,2,19.14621677
2016,13307,Webster County,Georgia,No Data,8.2,19.4,15.3,No Data,No Data,38.53564547,1,18.3323815
2016,13289,Twiggs County,Georgia,No Data,8.6,21.4,16.9,No Data,No Data,12.34110823,1,18.38588074
2016,13283,Treutlen County,Georgia,No Data,7.9,20.8,17.1,15.8579131,1,No Data,No Data,19.69411272
2016,13273,Terrell County,Georgia,No Data,8.5,19.5,15.7,11.15573405,1,No Data,No Data,20.19912506
2016,13269,Taylor County,Georgia,No Data,7.9,21.6,19.4,12.82215669,1,No Data,No Data,20.08481764
2016,13265,Taliaferro County,Georgia,No Data,8.4,19.2,15.6,No Data,No Data,No Data,No Data,17.3992674
2016,13263,Talbot County,Georgia,No Data,8.7,22.2,18,No Data,No Data,32.55738239,2,16.72789615
2016,13259,Stewart County,Georgia,No Data,8.6,19.4,15.3,No Data,No Data,No Data,No Data,18.87366819
2016,13249,Schley County,Georgia,No Data,8,20.1,16.1,No Data,No Data,19.24557352,1,15.19781719
2016,13243,Randolph County,Georgia,No Data,8.6,19.9,16.9,No Data,No Data,14.96557917,1,16.39192013
2016,13239,Quitman County,Georgia,No Data,8.1,19.1,16.5,44.58314757,1,No Data,No Data,20.75726842
2016,18025,Crawford County,Indiana,No Data,7.7,25.1,17.4,9.51112802,1,No Data,No Data,10.79694584
2016,17175,Stark County,Illinois,No Data,7,20,14.3,18.88930865,1,No Data,No Data,8.39246391
2016,17171,Scott County,Illinois,No Data,7,19.3,14.4,20.67824648,1,No Data,No Data,6.668396471
2016,17169,Schuyler County,Illinois,No Data,7.4,19.5,14.2,No Data,No Data,No Data,No Data,8.053691275
2016,17153,Pulaski County,Illinois,No Data,7.6,18.9,15,No Data,No Data,No Data,No Data,8.094742322
2016,17151,Pope County,Illinois,No Data,7.1,18.9,14.5,No Data,No Data,No Data,No Data,7.04012112
2016,20049,Elk County,Kansas,No Data,8.9,26.5,19.6,No Data,No Data,39.88831272,1,13.3066819
2016,20047,Edwards County,Kansas,No Data,8.2,23.5,18.1,35.31073446,1,No Data,No Data,15.18061271
2016,20043,Doniphan County,Kansas,No Data,7.6,27.5,20.9,No Data,No Data,40.02134472,3,9.738759552
2016,20039,Decatur County,Kansas,No Data,8.1,26,21.7,36.35041803,1,No Data,No Data,12.07161125
2016,20033,Comanche County,Kansas,No Data,7.5,20.5,18.3,No Data,No Data,118.3431953,2,10.16666667
2016,20019,Chautauqua County,Kansas,No Data,8,25.6,20.8,58.910162,2,No Data,No Data,15.81854043
2016,20017,Chase County,Kansas,No Data,7.1,21.9,16.4,No Data,No Data,No Data,No Data,9.221748401
2016,20007,Barber County,Kansas,No Data,7.3,25.6,19.5,No Data,No Data,45.89261129,2,12.79559443
2016,19159,Ringgold County,Iowa,No Data,7.7,25.7,16.9,No Data,No Data,124.9739638,6,6.397497868
2016,21091,Hancock County,Kentucky,No Data,8.9,24.3,19.8,66.19593998,6,No Data,No Data,6.451612903
2016,18171,Warren County,Indiana,No Data,7.9,25,19,11.79941003,1,No Data,No Data,6.224688766
2016,18161,Union County,Indiana,No Data,7.6,23.4,18.4,No Data,No Data,14.0469167,1,9.870176063
2016,21007,Ballard County,Kentucky,No Data,8.3,26.8,24.3,25.99090318,2,No Data,No Data,6.839740389
2016,20207,Woodson County,Kansas,No Data,7.9,26.7,18.9,32.23726628,1,No Data,No Data,11.67600172
2016,20199,Wallace County,Kansas,No Data,7.5,21.4,16.3,No Data,No Data,No Data,No Data,10.51724138
2016,20197,Wabaunsee County,Kansas,No Data,7.2,24,17.5,No Data,No Data,43.44048653,3,9.07421014
2016,20195,Trego County,Kansas,No Data,9.1,27.4,19.5,No Data,No Data,72.51631617,2,11.9941492
2016,20187,Stanton County,Kansas,No Data,7.1,23.8,19.1,No Data,No Data,No Data,No Data,17.26835138
2016,20135,Ness County,Kansas,No Data,8.1,24.7,19.9,No Data,No Data,108.3815029,3,15.48159355
2016,20129,Morton County,Kansas,No Data,7.5,23.1,19.8,No Data,No Data,118.2033097,3,17.29678639
2016,20119,Meade County,Kansas,No Data,6.8,25,18.6,24.86325211,1,No Data,No Data,18.24408468
