Euclidean Distance for Fulton County-Georgia; 2016
Data downloaded on 21-February-2024
Year,County_FIPS,County,State,Euclidean Distance,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Physical Inactivity (Percentage) ,Isolation Index: Hispanic (Index) ,Isolation Index: Non-Hispanic American Indian/Alaska Native (Index) ,Isolation Index: Non-Hispanic Asian (Index) ,Isolation Index: Non-Hispanic Black (Index) ,Isolation Index: Non-Hispanic Native Hawaiian/Other Pacific Islander (Index) ,Isolation Index: Non-Hispanic White (Index) ,Renter occupied housing units with rent ≥50% of household income (Proportion) ,Severe Housing Cost Burden (Percent) ,Vacant housing units (Proportion) 
2016,51560,Clifton Forge City,Virginia,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,09190,Western Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,09180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,09170,South Central Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,09160,Northwest Hills Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,09150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,09140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,09130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,09120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,09110,Capitol Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2016,02066,Copper River Census Area,Alaska,No Data,No Data,No Data,No Data,0.04284727021423635,0.2847270214236351,0.0055286800276434,0.00172771250863856,No Data,0.5684174153420871,0.2177777777777778,No Data,0.6337008959338387
2016,02063,Chugach Census Area,Alaska,No Data,No Data,No Data,No Data,0.0561981755745217,0.06191827498757006,0.1114047606045525,0.01246366089904037,0.00960818445476997,0.7420036770210645,0.1063829787234043,No Data,0.2972315181016124
2016,06051,Mono County,California,No Data,7.2,20.8,13.7,0.2929868635851208,0.02589907703173298,0.08527917675399084,0.00669755419774258,No Data,0.656374161691564,0.09517335146159075,8.911282355265758,0.6312801589554357
2016,06003,Alpine County,California,No Data,7.6,18.8,14.7,0.1578947368421053,0.2873166522864539,0.00517687661777394,0.00862812769628991,No Data,0.5133735979292493,0.09722222222222222,10.465116279069768,0.7787068004459309
2016,05149,Yell County,Arkansas,No Data,9.5,30.2,26.6,0.2622859216326618,0.00629999347157696,0.0382755061690999,0.03437247399015829,No Data,0.7663239697670253,0.1686956521739131,6.843834833547649,0.2109098269405931
2016,05147,Woodruff County,Arkansas,No Data,7.8,21.5,18.2,0.00372856077554064,0.00040749796251019,No Data,0.3195884629338754,No Data,0.7062215552541333,0.119496855345912,9.022257551669316,0.2258896338318721
2016,05145,White County,Arkansas,No Data,10.1,27.6,24,0.08242817536079836,0.01623869023756329,0.0396178134038748,0.1126117084237151,No Data,0.8871618757739445,0.1940353012781497,9.9075880858584,0.1480073104586723
2016,05139,Union County,Arkansas,No Data,9.6,32.6,28.6,0.101328787826654,0.02956027967360888,0.02012682708395316,0.4563374502220461,No Data,0.693200717287003,0.2231735159817352,12.859464424503638,0.2098180912035883
2016,05137,Stone County,Arkansas,No Data,9.8,29.9,22.9,0.07660263128133643,0.00469691385535619,0.01377983501805539,0.00261153427638738,No Data,0.9303989247086885,0.337557603686636,11.927255550307038,0.2975313988739714
2016,05135,Sharp County,Arkansas,No Data,9.2,31.2,23.1,0.02693171935049073,0.00511426167498192,0.00113250283125708,0.03030721272076805,No Data,0.9204231661803673,0.2228714524207012,11.039061293808862,0.2606630280978371
2016,05129,Searcy County,Arkansas,No Data,7.6,23.4,21.4,0.04610301046471259,0.02238748713606089,0.00490076349688812,0.01090425531914894,No Data,0.9086493151878736,0.2613636363636364,9.634551495016613,0.3465966471419915
2016,05127,Scott County,Arkansas,No Data,8.7,27.3,19.2,0.1293175324280419,0.00603404382140564,0.03660594107797431,0.09683886753414891,No Data,0.8441039513774932,0.2730455075845974,10.755336617405582,0.2212757902706795
2016,05117,Prairie County,Arkansas,No Data,8.6,25.5,21.3,0.02281557413907546,0.00352360817477097,0.00493305144467935,0.1320823184630912,No Data,0.8466262326530886,0.0930888575458392,5.117609663064209,0.1747252747252747
2016,05115,Pope County,Arkansas,No Data,8.7,30.4,28.6,0.24810533445367,0.04435349325672698,0.03693004930160867,0.05264204575808723,No Data,0.858408445916777,0.2243252716438836,10.374972265364987,0.1330906609031965
2016,05111,Poinsett County,Arkansas,No Data,9.6,25.2,27.8,0.04582937928150246,0.00159422832076789,0.00347039405573928,0.07614234943091099,No Data,0.8621594401809832,0.2177083333333333,10.551387400261998,0.1297980716754593
2016,05109,Pike County,Arkansas,No Data,8.5,26.4,22,0.1190002856068749,0.00518873423154936,0.00151664727385652,0.06277491198911292,No Data,0.8672386513031163,0.257372654155496,7.757931218341775,0.2511991472730503
2016,05107,Phillips County,Arkansas,No Data,10.4,38.3,31.4,0.04205029620437221,No Data,No Data,0.6797103907288311,No Data,0.4141043239705414,0.2264150943396226,16.072065643952907,0.2618373523381822
2016,05105,Perry County,Arkansas,No Data,8.2,24.4,17.6,0.03336771197902096,0.00651404870527568,0.00113808801213961,0.03777060364051447,No Data,0.9153803100813305,0.1557522123893805,5.226277372262773,0.2589625475665932
2016,05103,Ouachita County,Arkansas,No Data,10,29,25.2,0.03048143394755328,No Data,0.00238604351220175,0.4529125043470738,No Data,0.5743768831664082,0.2450090744101633,10.03961376578361,0.2763539282990084
