Euclidean Distance for Fulton County-Georgia; 2018
Data downloaded on 21-February-2024
Year,County_FIPS,County,State,Euclidean Distance,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Physical Inactivity (Percentage) ,Enrolled in Free or Reduced Lunch (Percent) ,Farmers' Market (Rate) ,Fast Food Restaurants: Number (Number) ,Fast Food Restaurants: Rate  per 1000 Population (Rate) ,Food Environment Index (Index) ,Food Insecurity (Percent) ,Limited Access to Healthy Foods (Percent) ,Soda sales tax: Vending Machines (Percent) 
2018,51560,Clifton Forge City,Virginia,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,09190,Western Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,09180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,09170,South Central Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,09160,Northwest Hills Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,09150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,09140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,09130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,09120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,09110,Capitol Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,02066,Copper River Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,02063,Chugach Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2018,06003,Alpine County,California,No Data,7.3,18.1,14.3,63.013698630136986,No Data,No Data,No Data,6.7,11.700000000000001,16.785138519,6.5
2018,05149,Yell County,Arkansas,No Data,9.5,27.9,25.8,80.70991432068544,No Data,9,0.418877409,7.2,14.000000000000002,7.7791137584,1.5
2018,05147,Woodruff County,Arkansas,No Data,8.5,19.6,17.5,74.05812701829925,No Data,5,0.754944889,7.1,16.900000000000002,3.227311218,1.5
2018,05133,Sevier County,Arkansas,No Data,11.6,27.4,30.3,75.3411306042885,No Data,7,0.412857564,6.4,15.2,13.395401558,1.5
2018,05117,Prairie County,Arkansas,No Data,7.7,23.4,22,68.16182937554969,No Data,3,0.362713094,7.8,14.000000000000002,2.1533284376,1.5
2018,05095,Monroe County,Arkansas,No Data,8.2,20.3,20.3,99.24568965517241,No Data,6,0.829302004,5.6,18.3,14.983969818,1.5
2018,05085,Lonoke County,Arkansas,No Data,9.7,33.9,28.1,50.04094394401846,No Data,35,0.487757292,7.5,13.5,5.2967568257,1.5
2018,05079,Lincoln County,Arkansas,No Data,9.6,24.9,28,69.02592852137352,No Data,5,0.362056481,6,15.2,17.503821198,1.5
2018,05073,Lafayette County,Arkansas,No Data,8.1,27.2,21.2,77.2952853598015,No Data,3,0.433025404,5.9,18.7,11.357702636,1.5
2018,05063,Independence County,Arkansas,No Data,7.6,25.8,24.5,63.911230265117666,No Data,24,0.647004906,7.1,15.5,6.0958814394,1.5
2018,05059,Hot Spring County,Arkansas,No Data,10.5,30,23.1,59.09441233140655,No Data,18,0.538180948,6.5,15.8,11.213107535,1.5
2018,05049,Fulton County,Arkansas,No Data,7.1,23.9,21.9,77.04257767548907,No Data,4,0.332253509,6.6,17.8,5.9338312198,1.5
2018,05043,Drew County,Arkansas,No Data,10.2,23.3,25.6,67.20522516328636,No Data,14,0.751556796,6.7,15.5,9.2006050811,1.5
