Euclidean Distance for Fulton County-Georgia; 2019
Data downloaded on 21-February-2024
Year,County_FIPS,County,State,Euclidean Distance,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Physical Inactivity (Percentage) ,Access to Exercise Opportunities (Percent) ,Commute ≥ 60 minutes (Percent) ,Public Transportation (Percent) ,Urban_Rural (Urban-Rural) 
2019,51560,Clifton Forge City,Virginia,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2
2019,09190,Western Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2019,09180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2019,09170,South Central Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2019,09160,Northwest Hills Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2019,09150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2019,09140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2019,09130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2019,09120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2019,09110,Capitol Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2019,02066,Copper River Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,13.4,1.1,No Data
2019,02063,Chugach Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,0.5,0.3,No Data
2019,06049,Modoc County,California,No Data,7.4,22.5,19,54.620689655172406,6.9,No Data,2
2019,05147,Woodruff County,Arkansas,No Data,8.4,26,21.3,45.525602169405,5.9,No Data,2
2019,05141,Van Buren County,Arkansas,No Data,9.7,30,20.9,42.2828564193467,15.1,No Data,2
2019,05137,Stone County,Arkansas,No Data,7.3,29.1,24.1,50.0040456347601,5,No Data,2
2019,05123,St. Francis County,Arkansas,No Data,10.6,30.9,30.2,31.7756604590732,3.8,No Data,1
2019,05121,Randolph County,Arkansas,No Data,11.3,32.7,27.4,39.1524419794303,7.2,No Data,2
2019,05117,Prairie County,Arkansas,No Data,8.7,26.8,23.3,32.4197053851727,8.4,No Data,2
2019,05111,Poinsett County,Arkansas,No Data,9.4,27.3,26.8,42.8913564119312,8.1,No Data,1
2019,05107,Phillips County,Arkansas,No Data,14.9,36.2,30.9,63.3510381458233,5.3,No Data,1
2019,05103,Ouachita County,Arkansas,No Data,10.4,29.1,30.7,36.4944812362031,7.3,No Data,1
2019,05101,Newton County,Arkansas,No Data,8.6,25.4,22.4,59.5017301038062,8.4,No Data,1
2019,05097,Montgomery County,Arkansas,No Data,8.4,27.6,20.2,97.2418670438472,18.6,No Data,2
2019,05095,Monroe County,Arkansas,No Data,8.9,24.4,22.7,61.2295925871452,11,No Data,2
2019,05087,Madison County,Arkansas,No Data,8.4,29.2,24.8,48.744022758912905,14,No Data,1
2019,05081,Little River County,Arkansas,No Data,8.9,24.8,23,51.3969732246799,5.7,No Data,1
