Euclidean Distance for Fulton County-Georgia; 2021,,,,,,,,,,,,,,,
Data downloaded on 21-February-2024,,,,,,,,,,,,,,,
Year,County_FIPS,County,State,Euclidean Distance,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Physical Inactivity (Percentage) ,Enrolled in Free or Reduced Lunch (Percent) ,Farmers' Market (Rate) ,Fast Food Restaurants: Number (Number) ,Fast Food Restaurants: Rate  per 1000 Population (Rate) ,Food Environment Index (Index) ,Food Insecurity (Percent) ,Limited Access to Healthy Foods (Percent) ,Soda sales tax: Vending Machines (Percent) 
2021,51560,Clifton Forge City,Virginia,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9190,Western Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9170,South Central Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9160,Northwest Hills Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9110,Capitol Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,2066,Copper River Census Area,Alaska,No Data,7.7,17.1,14.4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,2063,Chugach Census Area,Alaska,No Data,7.5,28,17.1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,6003,Alpine County,California,No Data,7.5,17.5,14.5,63.01369863,No Data,No Data,No Data,6.7,11.7,16.78513852,6.5
2021,5149,Yell County,Arkansas,No Data,9,27.3,26.4,80.70991432,No Data,9,0.418877409,7.2,14,7.779113758,1.5
2021,5147,Woodruff County,Arkansas,No Data,9,22.9,16.5,74.05812702,No Data,5,0.754944889,7.1,16.9,3.227311218,1.5
2021,5133,Sevier County,Arkansas,No Data,10,30.6,22.7,75.3411306,No Data,7,0.412857564,6.4,15.2,13.39540156,1.5
2021,5117,Prairie County,Arkansas,No Data,7.8,24.4,21.9,68.16182938,No Data,3,0.362713094,7.8,14,2.153328438,1.5
2021,5095,Monroe County,Arkansas,No Data,9.8,23.2,28,99.24568966,No Data,6,0.829302004,5.6,18.3,14.98396982,1.5
2021,5085,Lonoke County,Arkansas,No Data,8.9,32.5,24.5,50.04094394,No Data,35,0.487757292,7.5,13.5,5.296756826,1.5
2021,5079,Lincoln County,Arkansas,No Data,8.4,24.3,24,69.02592852,No Data,5,0.362056481,6,15.2,17.5038212,1.5
2021,5073,Lafayette County,Arkansas,No Data,8.2,19.5,16.8,77.29528536,No Data,3,0.433025404,5.9,18.7,11.35770264,1.5
2021,5063,Independence County,Arkansas,No Data,9.2,30,21.9,63.91123027,No Data,24,0.647004906,7.1,15.5,6.095881439,1.5
2021,5059,Hot Spring County,Arkansas,No Data,9.4,25.8,21.6,59.09441233,No Data,18,0.538180948,6.5,15.8,11.21310754,1.5
2021,5049,Fulton County,Arkansas,No Data,7.8,22.9,17.9,77.04257768,No Data,4,0.332253509,6.6,17.8,5.93383122,1.5
2021,5043,Drew County,Arkansas,No Data,8.5,26.9,21.2,67.20522516,No Data,14,0.751556796,6.7,15.5,9.200605081,1.5
2021,5041,Desha County,Arkansas,No Data,9.3,27.6,22.7,100,No Data,10,0.838926174,5.6,17.4,16.61315153,1.5
2021,5039,Dallas County,Arkansas,No Data,9.1,17.2,21.5,86.72665917,No Data,4,0.538358008,5.3,14.1,26.79262776,1.5
2021,5035,Crittenden County,Arkansas,No Data,10.9,37.5,31.2,88.99676375,No Data,30,0.608272506,6.4,16.7,10.62244313,1.5
2021,5013,Calhoun County,Arkansas,No Data,8.5,23.1,16.2,70.36328872,No Data,1,0.193723363,5.7,13,24.68844827,1.5
2021,5011,Bradley County,Arkansas,No Data,9,26.2,19.7,100,No Data,5,0.455414883,6.8,14.9,10.20748401,1.5
2021,4027,Yuma County,Arizona,No Data,11.6,40.2,25.1,No Data,No Data,121,0.588913819,6.5,16.2,10.30404572,No Data
2021,4025,Yavapai County,Arizona,No Data,6.2,25.1,18,No Data,0.034483798,139,0.619531741,6.9,13,12.97976533,No Data
2021,4023,Santa Cruz County,Arizona,No Data,7.7,30.5,22.8,No Data,0.107501455,24,0.520889853,6.1,14,18.32411815,No Data
2021,4021,Pinal County,Arizona,No Data,10.3,36.3,22.3,No Data,0.002236446,132,0.317984173,7.1,11.1,14.213207,No Data
2021,4019,Pima County,Arizona,No Data,7.7,30.1,19.1,No Data,0.023097511,666,0.657765435,7.3,12.6,8.92872543,No Data
2021,4017,Navajo County,Arizona,No Data,10.6,33.3,21.6,No Data,0.027162841,62,0.572367571,4.3,19.2,26.00161119,No Data
2021,2180,Nome Census Area,Alaska,No Data,8.2,33.4,23.2,No Data,No Data,1,0.100857287,5.9,16.9,15.19547303,No Data
2021,2170,Matanuska-Susitna Borough,Alaska,No Data,7.5,34.4,19.7,No Data,0.065049715,36,0.345744936,7.7,11.1,8.187402145,No Data
2021,2164,Lake and Peninsula Borough,Alaska,No Data,8.4,30.1,17.7,No Data,No Data,No Data,No Data,3.6,15,41.60426557,No Data
2021,2150,Kodiak Island Borough,Alaska,No Data,8.1,28.9,18.8,No Data,No Data,6,0.438628555,7.6,9.9,11.48008115,No Data
2021,2130,Ketchikan Gateway Borough,Alaska,No Data,8.9,34.9,20.1,No Data,No Data,11,0.801340424,8.3,12.2,0.400955588,No Data
2021,2122,Kenai Peninsula Borough,Alaska,No Data,7.8,30.9,19.2,No Data,0.10250628,44,0.751584306,7.4,12.8,7.868275777,No Data
2021,2110,Juneau City and Borough,Alaska,No Data,6.9,28.4,12.1,No Data,0.062280074,28,0.864064188,8.7,9.3,1.961601361,No Data
2021,2105,Hoonah-Angoon Census Area,Alaska,No Data,7.2,25.2,13.9,No Data,No Data,2,No Data,4.8,14.1,31.13017406,No Data
2021,2100,Haines Borough,Alaska,No Data,7.1,19.5,14.7,No Data,0.404203713,1,0.395100751,6.3,17,10.08529376,No Data
2021,2090,Fairbanks North Star Borough,Alaska,No Data,7.7,32.3,19.8,No Data,0.03031191,44,0.43736705,8.2,9.2,7.731201721,No Data
2021,2070,Dillingham Census Area,Alaska,No Data,8.5,34.1,21.6,No Data,0.200000003,1,0.20096463,4.7,14.6,31.46643425,No Data
