Euclidean Distance for Fulton County-Georgia; 2021,,,,,,,,,,,
Data downloaded on 21-February-2024,,,,,,,,,,,
Year,County_FIPS,County,State,Euclidean Distance,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Physical Inactivity (Percentage) ,Access to Exercise Opportunities (Percent) ,Commute ≥ 60 minutes (Percent) ,Public Transportation (Percent) ,Urban_Rural (Urban-Rural) 
2021,51560,Clifton Forge City,Virginia,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2
2021,9190,Western Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9170,South Central Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9160,Northwest Hills Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,9110,Capitol Planning Region,Connecticut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2021,2066,Copper River Census Area,Alaska,No Data,7.7,17.1,14.4,No Data,13.4,1.1,No Data
2021,2063,Chugach Census Area,Alaska,No Data,7.5,28,17.1,No Data,0.5,0.3,No Data
2021,6049,Modoc County,California,No Data,7.2,17.4,14.1,54.62068966,6.9,No Data,2
2021,5147,Woodruff County,Arkansas,No Data,9,22.9,16.5,45.52560217,5.9,No Data,2
2021,5141,Van Buren County,Arkansas,No Data,10.3,32.9,22,42.28285642,15.1,No Data,2
2021,5137,Stone County,Arkansas,No Data,7.6,34.1,25,50.00404563,5,No Data,2
2021,5123,St. Francis County,Arkansas,No Data,12.6,40.5,34.3,31.77566046,3.8,No Data,1
2021,5121,Randolph County,Arkansas,No Data,9.5,30.6,23.4,39.15244198,7.2,No Data,2
2021,5117,Prairie County,Arkansas,No Data,7.8,24.4,21.9,32.41970539,8.4,No Data,2
2021,5111,Poinsett County,Arkansas,No Data,10.5,37.9,28,42.89135641,8.1,No Data,1
2021,5107,Phillips County,Arkansas,No Data,11.9,32.7,30.9,63.35103815,5.3,No Data,1
2021,5103,Ouachita County,Arkansas,No Data,9,29.4,33,36.49448124,7.3,No Data,1
2021,5101,Newton County,Arkansas,No Data,7.9,32.2,19.6,59.5017301,8.4,No Data,1
2021,5097,Montgomery County,Arkansas,No Data,8.1,23.9,20.8,97.24186704,18.6,No Data,2
2021,5095,Monroe County,Arkansas,No Data,9.8,23.2,28,61.22959259,11,No Data,2
2021,5087,Madison County,Arkansas,No Data,8.2,24,21.5,48.74402276,14,No Data,1
2021,5081,Little River County,Arkansas,No Data,7.9,26.6,21.2,51.39697322,5.7,No Data,1
2021,5077,Lee County,Arkansas,No Data,9.2,25.5,19.8,52.22093023,8.9,No Data,2
2021,5075,Lawrence County,Arkansas,No Data,8.8,26.1,19.4,35.11346818,10.5,No Data,2
2021,5067,Jackson County,Arkansas,No Data,9.2,22.9,20.9,46.0519248,4,No Data,2
2021,5065,Izard County,Arkansas,No Data,7.7,25.3,17.6,55.43934595,4.7,No Data,2
2021,5061,Howard County,Arkansas,No Data,9,23.1,21.2,8.580367618,3.1,No Data,2
2021,5053,Grant County,Arkansas,No Data,8.4,33.9,22,35.10413186,11.6,No Data,1
2021,5043,Drew County,Arkansas,No Data,8.5,26.9,21.2,66.21902017,5.9,No Data,2
2021,5041,Desha County,Arkansas,No Data,9.3,27.6,22.7,40.88635366,4,No Data,2
2021,5039,Dallas County,Arkansas,No Data,9.1,17.2,21.5,No Data,8.3,0.2,2
2021,5037,Cross County,Arkansas,No Data,9,34.3,24.2,72.12024,13.5,No Data,2
2021,5033,Crawford County,Arkansas,No Data,10.8,36.2,24.2,64.5635508,2.9,No Data,1
2021,5025,Cleveland County,Arkansas,No Data,9.4,25.2,20.6,1.350993377,12.3,No Data,1
2021,5023,Cleburne County,Arkansas,No Data,9.2,29.3,26.2,35.72902756,10.9,No Data,2
2021,5021,Clay County,Arkansas,No Data,10.6,28.1,21.1,60.74766355,7.8,No Data,2
2021,5017,Chicot County,Arkansas,No Data,9.1,30.9,21.6,56.22061129,4.6,No Data,2
2021,5011,Bradley County,Arkansas,No Data,9,26.2,19.7,49.10384068,9.6,No Data,2
2021,5005,Baxter County,Arkansas,No Data,7.7,27.1,21.3,61.07334182,4.3,No Data,1
2021,5001,Arkansas County,Arkansas,No Data,9.4,32.1,30.1,76.19103155,6.9,No Data,2
2021,2164,Lake and Peninsula Borough,Alaska,No Data,8.4,30.1,17.7,17.20867209,0.5,No Data,2
2021,2150,Kodiak Island Borough,Alaska,No Data,8.1,28.9,18.8,99.22143348,1.1,No Data,2
2021,2068,Denali Borough,Alaska,No Data,6.5,16.1,12,72.01976529,5.8,No Data,2
2021,2013,Aleutians East Borough,Alaska,No Data,9.9,27.8,18.6,11.08187135,No Data,0.2,2
2021,1129,Washington County,Alabama,No Data,10.4,27.9,19,10.4432025,14.5,No Data,2
2021,1117,Shelby County,Alabama,No Data,9.5,32.4,20.7,73.62660521,8.8,No Data,1
2021,1105,Perry County,Alabama,No Data,11,24.6,18.3,54.96416402,7,No Data,2
2021,1093,Marion County,Alabama,No Data,8,25.5,19.3,47.66367881,14.7,No Data,2
2021,1091,Marengo County,Alabama,No Data,10.5,34,21.4,47.57025307,13.4,No Data,2
2021,1079,Lawrence County,Alabama,No Data,8.3,23.1,18,56.76231367,6,No Data,1
2021,1077,Lauderdale County,Alabama,No Data,10.8,33.4,21.5,57.35753067,11.7,No Data,1
2021,1075,Lamar County,Alabama,No Data,8.5,21.9,15.8,8.839106785,7.4,No Data,2
2021,1069,Houston County,Alabama,No Data,10.2,35.3,31.6,75.13292662,4.5,No Data,1
2021,1063,Greene County,Alabama,No Data,10.7,25.8,21.4,4.489003881,37,No Data,2
2021,1061,Geneva County,Alabama,No Data,11.1,32.5,27.2,35.12509847,9.1,No Data,1
2021,1059,Franklin County,Alabama,No Data,7.5,19.8,16.1,57.02363529,7.7,No Data,2
2021,1057,Fayette County,Alabama,No Data,7.5,21.8,20.7,32.29581521,17.9,No Data,2
2021,1043,Cullman County,Alabama,No Data,9.8,32.2,23.6,48.49771243,13.3,No Data,1
2021,1039,Covington County,Alabama,No Data,10.5,34.9,20,58.28320468,7.6,No Data,2
2021,1037,Coosa County,Alabama,No Data,8.4,18.9,15.4,4.534514297,14.8,No Data,1
2021,1031,Coffee County,Alabama,No Data,9.7,36.5,25.2,48.80202001,5.3,No Data,1
2021,1029,Cleburne County,Alabama,No Data,8.3,20.6,16.8,42.4282678,13.5,No Data,2
2021,1027,Clay County,Alabama,No Data,8.2,23.2,19.4,64.39308795,13.7,No Data,2
2021,1025,Clarke County,Alabama,No Data,9.9,32.4,28.7,52.98652922,11.9,No Data,2
2021,1023,Choctaw County,Alabama,No Data,11.2,31.4,19,25.16383735,23,No Data,2
2021,1021,Chilton County,Alabama,No Data,9.9,39.2,25.8,32.78979873,14.1,No Data,1
2021,4012,La Paz County,Arizona,No Data,8.1,26,26.1,42.71909162,1.9,No Data,2
2021,4011,Greenlee County,Arizona,No Data,6.9,21.5,14.3,70.97145247,2.1,No Data,2
2021,2282,Yakutat City and Borough,Alaska,No Data,8.4,19.8,15.7,63.29305136,0.3,No Data,2
2021,2280,Wrangell-Petersburg Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2
2021,2270,Wade Hampton Census Area,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2
2021,2261,Valdez-Cordova Census Area,Alaska,No Data,No Data,No Data,No Data,72.39427925,No Data,No Data,2
2021,2232,Skagway-Hoonah-Angoon,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2
2021,2230,Skagway Municipality,Alaska,No Data,7.8,21.3,15.9,100,0.3,No Data,2
2021,2201,Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2
2021,2185,North Slope Borough,Alaska,No Data,9.5,34.6,24.8,6.726498051,No Data,1.5,2
