County_FIPS,County,State,Obesity-2019-Percentage,Limited Access to Healthy Foods-2019-Percent
06075,San Francisco County,California,13.9,0.302544376
56039,Teton County,Wyoming,15.4,3.8117524014
08117,Summit County,Colorado,16.8,1.4729136704
16085,Valley County,Idaho,17,7.5468773226
08013,Boulder County,Colorado,17.2,2.6040508857
49043,Summit County,Utah,17.5,5.6752998188
08037,Eagle County,Colorado,17.7,4.7114712784
06041,Marin County,California,17.8,1.1658245282
12085,Martin County,Florida,18.2,10.240758871
16081,Teton County,Idaho,18.7,2.2345126345
36061,New York County,New York,18.9,0
46027,Clay County,South Dakota,19,11.069810333
06057,Nevada County,California,19.2,8.6130407022
30031,Gallatin County,Montana,19.2,4.3666197981
30033,Garfield County,Montana,19.2,18.465986317
08097,Pitkin County,Colorado,19.4,1.9727076003
51013,Arlington County,Virginia,19.4,0.0781377444
08031,Denver County,Colorado,19.6,4.2579407232
08107,Routt County,Colorado,19.7,2.4610716384
49019,Grand County,Utah,19.8,2.4976303098
53055,San Juan County,Washington,19.8,No Data
08125,Yuma County,Colorado,19.9,5.7969092825
06081,San Mateo County,California,20.1,0.919326845
12021,Collier County,Florida,20.2,7.0185354592
08051,Gunnison County,Colorado,20.3,3.0766866973
13037,Calhoun County,Georgia,20.3,6.3109281023
22125,West Feliciana Parish,Louisiana,20.3,14.857102689
13159,Jasper County,Georgia,20.4,1.13337915
18147,Spencer County,Indiana,20.4,0.0134387288
28055,Issaquena County,Mississippi,20.4,15.420482613
08035,Douglas County,Colorado,20.5,1.9500937406
35051,Sierra County,New Mexico,20.5,14.966966826
35055,Taos County,New Mexico,20.5,13.802364074
47129,Morgan County,Tennessee,20.5,6.8142811537
02068,Denali Borough,Alaska,20.6,33.09144787
06043,Mariposa County,California,20.6,2.6113538803
48397,Rockwall County,Texas,20.6,3.2371832129
35049,Santa Fe County,New Mexico,20.7,9.3451555156
51133,Northumberland County,Virginia,20.7,2.0974220812
48415,Scurry County,Texas,20.8,2.5277635486
56035,Sublette County,Wyoming,20.9,4.2679117631
01087,Macon County,Alabama,21,22.099887023
13079,Crawford County,Georgia,21,16.445656256
13083,Dade County,Georgia,21,No Data
13265,Taliaferro County,Georgia,21,47.432359748
27077,Lake Of The Woods County,Minnesota,21,8.7312828099
41063,Wallowa County,Oregon,21,10.703037311
47057,Grainger County,Tennessee,21,No Data
48067,Cass County,Texas,21,7.4909769672
02195,Petersburg Borough,Alaska,21.1,0.6674929034
02282,Yakutat City and Borough,Alaska,21.1,0.1119083202
08015,Chaffee County,Colorado,21.1,2.9234847015
13101,Echols County,Georgia,21.1,18.30880081
15005,Kalawao County,Hawaii,21.1,No Data
19115,Louisa County,Iowa,21.1,0.3247159186
22067,Morehouse Parish,Louisiana,21.1,13.918961732
27155,Traverse County,Minnesota,21.1,3.7058224122
31091,Hooker County,Nebraska,21.1,32.724505173
48299,Llano County,Texas,21.1,13.2648913
48365,Panola County,Texas,21.1,9.5663624217
48499,Wood County,Texas,21.1,8.849882745
01011,Bullock County,Alabama,21.2,32.339190387
13311,White County,Georgia,21.2,No Data
13319,Wilkinson County,Georgia,21.2,11.416500002
22035,East Carroll Parish,Louisiana,21.2,21.806992531
25021,Norfolk County,Massachusetts,21.2,3.5993974818
46085,Lyman County,South Dakota,21.2,16.831983866
47067,Hancock County,Tennessee,21.2,0.5063095466
51540,Charlottesville City,Virginia,21.2,3.9872442029
06027,Inyo County,California,21.3,7.7716449439
13065,Clinch County,Georgia,21.3,5.14878747
22003,Allen Parish,Louisiana,21.3,11.243639793
32029,Storey County,Nevada,21.3,0.0883248903
35003,Catron County,New Mexico,21.3,44.098763899
37053,Currituck County,North Carolina,21.3,0.464772768
41021,Gilliam County,Oregon,21.3,20.807689076
42053,Forest County,Pennsylvania,21.3,15.00673183
42113,Sullivan County,Pennsylvania,21.3,11.344099801
51036,Charles City County,Virginia,21.3,0.7185726776
08067,La Plata County,Colorado,21.4,4.1778011271
13259,Stewart County,Georgia,21.4,11.650292722
13307,Webster County,Georgia,21.4,1.1133160788
16053,Jerome County,Idaho,21.4,11.808051641
22013,Bienville Parish,Louisiana,21.4,19.499213429
26003,Alger County,Michigan,21.4,4.8934575132
37177,Tyrrell County,North Carolina,21.4,4.2146792512
37187,Washington County,North Carolina,21.4,0.2789301916
40085,Love County,Oklahoma,21.4,5.8252694391
48171,Gillespie County,Texas,21.4,3.133166301
50025,Windham County,Vermont,21.4,3.6947898233
05065,Izard County,Arkansas,21.5,0.3212162646
17127,Massac County,Illinois,21.5,3.395242111
22065,Madison Parish,Louisiana,21.5,3.0635602902
29063,Dekalb County,Missouri,21.5,6.4041433028
40129,Roger Mills County,Oklahoma,21.5,20.373473922
48097,Cooke County,Texas,21.5,2.7052191449
48101,Cottle County,Texas,21.5,56.884175591
51595,Emporia City,Virginia,21.5,1.761196859
13269,Taylor County,Georgia,21.6,2.1894991443
