County_FIPS,County,State,Obesity-2019-Percentage,Access to Exercise Opportunities-2020 & 2022-Percent
06075,San Francisco County,California,13.9,100
56039,Teton County,Wyoming,15.4,97.74548883459771
08117,Summit County,Colorado,16.8,99.9871196264692
16085,Valley County,Idaho,17,69.0362676655883
08013,Boulder County,Colorado,17.2,95.0150865587529
49043,Summit County,Utah,17.5,95.1271336496919
08037,Eagle County,Colorado,17.7,92.37587698049559
06041,Marin County,California,17.8,97.5053465029487
12085,Martin County,Florida,18.2,97.1173570828941
16081,Teton County,Idaho,18.7,78.323301805675
36061,New York County,New York,18.9,100
46027,Clay County,South Dakota,19,85.4947551279482
06057,Nevada County,California,19.2,82.5441848182236
30031,Gallatin County,Montana,19.2,83.1531607262946
30033,Garfield County,Montana,19.2,9.1219096334186
08097,Pitkin County,Colorado,19.4,94.6134347275032
51013,Arlington County,Virginia,19.4,100
08031,Denver County,Colorado,19.6,99.0626423785712
08107,Routt County,Colorado,19.7,75.4319545692537
49019,Grand County,Utah,19.8,94.51856448443479
53055,San Juan County,Washington,19.8,86.164830222622
08125,Yuma County,Colorado,19.9,70.2442931517821
06081,San Mateo County,California,20.1,99.4853762613776
12021,Collier County,Florida,20.2,92.37236262215501
08051,Gunnison County,Colorado,20.3,90.9681995507743
13037,Calhoun County,Georgia,20.3,No Data
22125,West Feliciana Parish,Louisiana,20.3,32.357935989549304
13159,Jasper County,Georgia,20.4,56.0186454620236
18147,Spencer County,Indiana,20.4,42.0595658758203
28055,Issaquena County,Mississippi,20.4,8.071748878923799
08035,Douglas County,Colorado,20.5,92.9847644268642
35051,Sierra County,New Mexico,20.5,73.6264685556323
35055,Taos County,New Mexico,20.5,79.149873872829
47129,Morgan County,Tennessee,20.5,29.4318992155931
02068,Denali Borough,Alaska,20.6,72.0197652872143
06043,Mariposa County,California,20.6,44.7551222929193
48397,Rockwall County,Texas,20.6,83.5214572570697
35049,Santa Fe County,New Mexico,20.7,82.3656691835192
51133,Northumberland County,Virginia,20.7,39.0826927949996
48415,Scurry County,Texas,20.8,44.2475785494921
56035,Sublette County,Wyoming,20.9,54.4110907424381
01087,Macon County,Alabama,21,40.4413270530412
13079,Crawford County,Georgia,21,3.4872217642209
13083,Dade County,Georgia,21,70.1864500646114
13265,Taliaferro County,Georgia,21,34.3810134701732
27077,Lake Of The Woods County,Minnesota,21,56.364602710603194
41063,Wallowa County,Oregon,21,58.5035854417535
47057,Grainger County,Tennessee,21,8.2245930207846
48067,Cass County,Texas,21,35.481830322626
02195,Petersburg Borough,Alaska,21.1,16.0977045320777
02282,Yakutat City and Borough,Alaska,21.1,63.2930513595166
08015,Chaffee County,Colorado,21.1,99.86136783733829
13101,Echols County,Georgia,21.1,0.21639166892070003
15005,Kalawao County,Hawaii,21.1,100
19115,Louisa County,Iowa,21.1,48.768109255329
22067,Morehouse Parish,Louisiana,21.1,59.073705567911304
27155,Traverse County,Minnesota,21.1,49.8809523809524
31091,Hooker County,Nebraska,21.1,24.331926863572402
48299,Llano County,Texas,21.1,79.5320811561456
48365,Panola County,Texas,21.1,39.780356587079304
48499,Wood County,Texas,21.1,39.2770332047365
01011,Bullock County,Alabama,21.2,2.7807280100415
13311,White County,Georgia,21.2,70.3817448130557
13319,Wilkinson County,Georgia,21.2,No Data
22035,East Carroll Parish,Louisiana,21.2,84.72985654913529
25021,Norfolk County,Massachusetts,21.2,94.7420111545619
46085,Lyman County,South Dakota,21.2,24.825174825174802
47067,Hancock County,Tennessee,21.2,3.7676373461423003
51540,Charlottesville City,Virginia,21.2,100
06027,Inyo County,California,21.3,85.8960875052587
13065,Clinch County,Georgia,21.3,0.1037190694918
22003,Allen Parish,Louisiana,21.3,67.05494505494511
32029,Storey County,Nevada,21.3,31.9200779727096
35003,Catron County,New Mexico,21.3,63.3137747974294
37053,Currituck County,North Carolina,21.3,76.38790035587189
41021,Gilliam County,Oregon,21.3,39.6992481203008
42053,Forest County,Pennsylvania,21.3,88.46981213251111
42113,Sullivan County,Pennsylvania,21.3,37.6198630136986
51036,Charles City County,Virginia,21.3,18.0717554997785
08067,La Plata County,Colorado,21.4,74.4059815234193
13259,Stewart County,Georgia,21.4,0.9220925856229001
13307,Webster County,Georgia,21.4,No Data
16053,Jerome County,Idaho,21.4,42.443371704418894
22013,Bienville Parish,Louisiana,21.4,33.1099298975426
26003,Alger County,Michigan,21.4,80.0950011309658
