County_FIPS,County,State,Obesity-2019-Percentage,Commute ≥ 60 minutes-2017-2021-Percent
06075,San Francisco County,California,13.9,13.7
56039,Teton County,Wyoming,15.4,2.3
08117,Summit County,Colorado,16.8,4.8
16085,Valley County,Idaho,17,1.3
08013,Boulder County,Colorado,17.2,6.4
49043,Summit County,Utah,17.5,5.1
08037,Eagle County,Colorado,17.7,5
06041,Marin County,California,17.8,15
12085,Martin County,Florida,18.2,7.3
16081,Teton County,Idaho,18.7,10.9
36061,New York County,New York,18.9,11.2
46027,Clay County,South Dakota,19,5.3
06057,Nevada County,California,19.2,8.9
30031,Gallatin County,Montana,19.2,4.8
30033,Garfield County,Montana,19.2,3.1
08097,Pitkin County,Colorado,19.4,3.6
51013,Arlington County,Virginia,19.4,6.2
08031,Denver County,Colorado,19.6,5.2
08107,Routt County,Colorado,19.7,4.7
49019,Grand County,Utah,19.8,1.8
53055,San Juan County,Washington,19.8,4.1
08125,Yuma County,Colorado,19.9,4.6
06081,San Mateo County,California,20.1,10.1
12021,Collier County,Florida,20.2,5.5
08051,Gunnison County,Colorado,20.3,2.8
13037,Calhoun County,Georgia,20.3,7.4
22125,West Feliciana Parish,Louisiana,20.3,15.3
13159,Jasper County,Georgia,20.4,21
18147,Spencer County,Indiana,20.4,9
28055,Issaquena County,Mississippi,20.4,9.6
08035,Douglas County,Colorado,20.5,7.3
35051,Sierra County,New Mexico,20.5,8.9
35055,Taos County,New Mexico,20.5,5.9
47129,Morgan County,Tennessee,20.5,10.8
02068,Denali Borough,Alaska,20.6,5.8
06043,Mariposa County,California,20.6,13.4
48397,Rockwall County,Texas,20.6,14.6
35049,Santa Fe County,New Mexico,20.7,5.8
51133,Northumberland County,Virginia,20.7,16.5
48415,Scurry County,Texas,20.8,5.4
56035,Sublette County,Wyoming,20.9,11.6
01087,Macon County,Alabama,21,6.5
13079,Crawford County,Georgia,21,5.8
13083,Dade County,Georgia,21,6
13265,Taliaferro County,Georgia,21,11.4
27077,Lake Of The Woods County,Minnesota,21,3.8
41063,Wallowa County,Oregon,21,3.2
47057,Grainger County,Tennessee,21,11.6
48067,Cass County,Texas,21,6.6
02195,Petersburg Borough,Alaska,21.1,0.5
02282,Yakutat City and Borough,Alaska,21.1,0.3
08015,Chaffee County,Colorado,21.1,6.5
13101,Echols County,Georgia,21.1,6.8
15005,Kalawao County,Hawaii,21.1,0
