County_FIPS,County,State,Diagnosed Diabetes-2021-Percentage,Overall Minority Status & Language-2018-Percentile
56039,Teton County,Wyoming,4.4,0.7736
30031,Gallatin County,Montana,4.7,0.2372
53055,San Juan County,Washington,4.7,0.4454
08117,Summit County,Colorado,5.1,0.7526
16013,Blaine County,Idaho,5.1,0.845
08035,Douglas County,Colorado,5.2,0.503
08013,Boulder County,Colorado,5.3,0.7157
08067,La Plata County,Colorado,5.5,0.4801
45013,Beaufort County,South Carolina,5.5,0.8128
49043,Summit County,Utah,5.6,0.6826
08015,Chaffee County,Colorado,5.7,0.4432
30057,Madison County,Montana,5.7,0.5638
50025,Windham County,Vermont,5.7,0.1595
56011,Crook County,Wyoming,5.7,0.0837
06057,Nevada County,California,5.8,0.5524
08037,Eagle County,Colorado,5.8,0.8886
30027,Fergus County,Montana,5.8,0.0885
41003,Benton County,Oregon,5.8,0.6625
55129,Washburn County,Wisconsin,5.8,0.1665
19167,Sioux County,Iowa,5.9,0.6234
25023,Plymouth County,Massachusetts,5.9,0.7195
50007,Chittenden County,Vermont,5.9,0.54
55025,Dane County,Wisconsin,5.9,0.6699
55069,Lincoln County,Wisconsin,5.9,0.049
08059,Jefferson County,Colorado,6,0.6749
20131,Nemaha County,Kansas,6,0.0965
33009,Grafton County,New Hampshire,6,0.3836
35028,Los Alamos County,New Mexico,6,0.5899
50001,Addison County,Vermont,6,0.2572
55055,Jefferson County,Wisconsin,6,0.4731
06041,Marin County,California,6.1,0.8415
06061,Placer County,California,6.1,0.7437
19141,O&#39;brien County,Iowa,6.1,0.3375
23015,Lincoln County,Maine,6.1,0.0783
30007,Broadwater County,Montana,6.1,0.135
35049,Santa Fe County,New Mexico,6.1,0.9513
38045,Lamoure County,North Dakota,6.1,0.298
04025,Yavapai County,Arizona,6.2,0.6609
09001,Fairfield County,Connecticut,6.2,0.9077
31083,Harlan County,Nebraska,6.2,0.2257
34019,Hunterdon County,New Jersey,6.2,0.5444
41017,Deschutes County,Oregon,6.2,0.5237
44005,Newport County,Rhode Island,6.2,0.5129
51013,Arlington County,Virginia,6.2,0.8809
51059,Fairfax County,Virginia,6.2,0.944
09005,Litchfield County,Connecticut,6.3,0.5374
19037,Chickasaw County,Iowa,6.3,0.3566
19077,Guthrie County,Iowa,6.3,0.2461
25015,Hampshire County,Massachusetts,6.3,0.5734
30029,Flathead County,Montana,6.3,0.1656
30055,Mccone County,Montana,6.3,0.3578
31135,Perkins County,Nebraska,6.3,0.2155
38043,Kidder County,North Dakota,6.3,0.0573
46045,Edmunds County,South Dakota,6.3,0.0605
46081,Lawrence County,South Dakota,6.3,0.3171
49019,Grand County,Utah,6.3,0.7354
50023,Washington County,Vermont,6.3,0.1697
53031,Jefferson County,Washington,6.3,0.3572
53073,Whatcom County,Washington,6.3,0.694
55035,Eau Claire County,Wisconsin,6.3,0.5075
56019,Johnson County,Wyoming,6.3,0.1165
56029,Park County,Wyoming,6.3,0.3553
06017,El Dorado County,California,6.4,0.6937
08014,Broomfield County,Colorado,6.4,0.6963
08045,Garfield County,Colorado,6.4,0.8685
08069,Larimer County,Colorado,6.4,0.5982
23009,Hancock County,Maine,6.4,0.1095
23013,Knox County,Maine,6.4,0.0602
24031,Montgomery County,Maryland,6.4,0.9554
26093,Livingston County,Michigan,6.4,0.1665
27041,Douglas County,Minnesota,6.4,0.0764
27067,Kandiyohi County,Minnesota,6.4,0.7421
30011,Carter County,Montana,6.4,0.0083
30067,Park County,Montana,6.4,0.2697
34003,Bergen County,New Jersey,6.4,0.9287
36079,Putnam County,New York,6.4,0.7507
55089,Ozaukee County,Wisconsin,6.4,0.277
56027,Niobrara County,Wyoming,6.4,0.2779
02068,Denali Borough,Alaska,6.5,0.454
08093,Park County,Colorado,6.5,0.1964
08097,Pitkin County,Colorado,6.5,0.4941
16085,Valley County,Idaho,6.5,0.0092
20081,Haskell County,Kansas,6.5,0.8851
25007,Dukes County,Massachusetts,6.5,0.4887
26055,Grand Traverse County,Michigan,6.5,0.2884
29185,St. Clair County,Missouri,6.5,0.0471
31097,Johnson County,Nebraska,6.5,0.7141
31129,Nuckolls County,Nebraska,6.5,0.326
31175,Valley County,Nebraska,6.5,0.2194
42029,Chester County,Pennsylvania,6.5,0.7303
42071,Lancaster County,Pennsylvania,6.5,0.7055
46019,Butte County,South Dakota,6.5,0.1165
46049,Faulk County,South Dakota,6.5,0.0369
46089,Mcpherson County,South Dakota,6.5,0.0618
49017,Garfield County,Utah,6.5,0.5113
51061,Fauquier County,Virginia,6.5,0.645
53033,King County,Washington,6.5,0.9048
55097,Portage County,Wisconsin,6.5,0.4008
08029,Delta County,Colorado,6.6,0.6644
08049,Grand County,Colorado,6.6,0.5333
16055,Kootenai County,Idaho,6.6,0.2585
19059,Dickinson County,Iowa,6.6,0.1929
19075,Grundy County,Iowa,6.6,0.0589
19079,Hamilton County,Iowa,6.6,0.4951
19081,Hancock County,Iowa,6.6,0.3216
19121,Madison County,Iowa,6.6,0.2044
21205,Rowan County,Kentucky,6.6,0.3133
25017,Middlesex County,Massachusetts,6.6,0.8341
27113,Pennington County,Minnesota,6.6,0.2904
30009,Carbon County,Montana,6.6,0.3177
30033,Garfield County,Montana,6.6,0
30063,Missoula County,Montana,6.6,0.3101
30099,Teton County,Montana,6.6,0.0716
31091,Hooker County,Nebraska,6.6,0.0169
34027,Morris County,New Jersey,6.6,0.8281
35027,Lincoln County,New Mexico,6.6,0.8812
37011,Avery County,North Carolina,6.6,0.538
49039,Sanpete County,Utah,6.6,0.6355
50019,Orleans County,Vermont,6.6,0.1741
51091,Highland County,Virginia,6.6,0.001
51107,Loudoun County,Virginia,6.6,0.9083
55045,Green County,Wisconsin,6.6,0.2728
55123,Vernon County,Wisconsin,6.6,0.2658
55127,Walworth County,Wisconsin,6.6,0.653
55137,Waushara County,Wisconsin,6.6,0.5043
56035,Sublette County,Wyoming,6.6,0.348
05089,Marion County,Arkansas,6.7,0.0573
06055,Napa County,California,6.7,0.9491
08031,Denver County,Colorado,6.7,0.9382
08119,Teller County,Colorado,6.7,0.3528
16029,Caribou County,Idaho,6.7,0.4425
17043,Dupage County,Illinois,6.7,0.8526
17049,Effingham County,Illinois,6.7,0.2757
17203,Woodford County,Illinois,6.7,0.049
18115,Ohio County,Indiana,6.7,0.0118
20023,Cheyenne County,Kansas,6.7,0.4865
20067,Grant County,Kansas,6.7,0.9449
20069,Gray County,Kansas,6.7,0.7396
21023,Bracken County,Kentucky,6.7,0.0764
23005,Cumberland County,Maine,6.7,0.4791
27121,Pope County,Minnesota,6.7,0.0729
31095,Jefferson County,Nebraska,6.7,0.4432
31101,Keith County,Nebraska,6.7,0.3021
32005,Douglas County,Nevada,6.7,0.667
38011,Bowman County,North Dakota,6.7,0.3292
40007,Beaver County,Oklahoma,6.7,0.8399
44001,Bristol County,Rhode Island,6.7,0.4642
46021,Campbell County,South Dakota,6.7,0.0019
46091,Marshall County,South Dakota,6.7,0.6269
47187,Williamson County,Tennessee,6.7,0.5002
48329,Midland County,Texas,6.7,0.9478
49029,Morgan County,Utah,6.7,0.1827
49051,Wasatch County,Utah,6.7,0.6055
49055,Wayne County,Utah,6.7,0.5938
53039,Klickitat County,Washington,6.7,0.7437
53057,Skagit County,Washington,6.7,0.8284
55075,Marinette County,Wisconsin,6.7,0.0933
56001,Albany County,Wyoming,6.7,0.5011
02195,Petersburg Borough,Alaska,6.8,0.7657
06087,Santa Cruz County,California,6.8,0.9325
08103,Rio Blanco County,Colorado,6.8,0.5963
08107,Routt County,Colorado,6.8,0.5492
16037,Custer County,Idaho,6.8,0.455
17015,Carroll County,Illinois,6.8,0.2436
19053,Decatur County,Iowa,6.8,0.3085
19107,Keokuk County,Iowa,6.8,0.0318
19161,Sac County,Iowa,6.8,0.3295
20017,Chase County,Kansas,6.8,0.2821
21045,Casey County,Kentucky,6.8,0.1958
25001,Barnstable County,Massachusetts,6.8,0.4301
25011,Franklin County,Massachusetts,6.8,0.4855
26047,Emmet County,Michigan,6.8,0.2073
26125,Oakland County,Michigan,6.8,0.7593
27019,Carver County,Minnesota,6.8,0.3499
27051,Grant County,Minnesota,6.8,0.0965
27055,Houston County,Minnesota,6.8,0.1105
27111,Otter Tail County,Minnesota,6.8,0.3881
27139,Scott County,Minnesota,6.8,0.6956
27165,Watonwan County,Minnesota,6.8,0.8593
29043,Christian County,Missouri,6.8,0.2359
29173,Ralls County,Missouri,6.8,0.0866
29227,Worth County,Missouri,6.8,0.0131
31061,Franklin County,Nebraska,6.8,0.1579
31063,Frontier County,Nebraska,6.8,0.0341
31071,Garfield County,Nebraska,6.8,0.0131
31165,Sioux County,Nebraska,6.8,0.1178
34035,Somerset County,New Jersey,6.8,0.8914
36061,New York County,New York,6.8,0.9612
37055,Dare County,North Carolina,6.8,0.616
40025,Cimarron County,Oklahoma,6.8,0.772
46067,Hutchinson County,South Dakota,6.8,0.155
47105,Loudon County,Tennessee,6.8,0.6348
48047,Brooks County,Texas,6.8,0.994
48171,Gillespie County,Texas,6.8,0.8303
49031,Piute County,Utah,6.8,0.0567
49033,Rich County,Utah,6.8,0.3145
51063,Floyd County,Virginia,6.8,0.3009
55023,Crawford County,Wisconsin,6.8,0.291
55103,Richland County,Wisconsin,6.8,0.2837
55139,Winnebago County,Wisconsin,6.8,0.467
56017,Hot Springs County,Wyoming,6.8,0.1433
02110,Juneau City and Borough,Alaska,6.9,0.737
04011,Greenlee County,Arizona,6.9,0.915
06009,Calaveras County,California,6.9,0.5135
06103,Tehama County,California,6.9,0.8469
08047,Gilpin County,Colorado,6.9,0.2763
08073,Lincoln County,Colorado,6.9,0.8548
08113,San Miguel County,Colorado,6.9,0.5657
15009,Maui County,Hawaii,6.9,0.9472
16077,Power County,Idaho,6.9,0.8984
16081,Teton County,Idaho,6.9,0.6504
17061,Greene County,Illinois,6.9,0.0146
17067,Hancock County,Illinois,6.9,0.07
17069,Hardin County,Illinois,6.9,0.0449
17181,Union County,Illinois,6.9,0.3187
18007,Benton County,Indiana,6.9,0.2572
19017,Bremer County,Iowa,6.9,0.1783
19103,Johnson County,Iowa,6.9,0.7494
19159,Ringgold County,Iowa,6.9,0.049
20003,Anderson County,Kansas,6.9,0.0369
20025,Clark County,Kansas,6.9,0.4339
20091,Johnson County,Kansas,6.9,0.6861
20127,Morris County,Kansas,6.9,0.3607
