County_FIPS,County,State,Obesity-2021-Percentage,Enrolled in Free or Reduced Lunch-2020-2021-Percent
56039,Teton County,Wyoming,12.2,4.801746089487087
08049,Grand County,Colorado,13.5,27.125748502994014
08097,Pitkin County,Colorado,14.1,32.38199780461032
08051,Gunnison County,Colorado,14.2,21.062992125984252
08107,Routt County,Colorado,14.4,18.638573743922205
08013,Boulder County,Colorado,15.4,27.8015437552311
06109,Tuolumne County,California,15.8,44.24588992137241
02068,Denali Borough,Alaska,16.1,No Data
32029,Storey County,Nevada,16.1,32.589285714285715
51830,Williamsburg City,Virginia,16.1,No Data
08117,Summit County,Colorado,16.2,34.65547191661841
13197,Marion County,Georgia,16.2,82.57097791798107
48127,Dimmit County,Texas,16.5,82.38141335914811
48275,Knox County,Texas,16.5,61.096605744125334
53055,San Juan County,Washington,16.5,33.25855300056085
55065,Lafayette County,Wisconsin,16.5,39.60964408725603
06075,San Francisco County,California,16.6,49.666390770426176
06087,Santa Cruz County,California,16.6,50.331525015069325
48081,Coke County,Texas,16.7,56.91056910569105
48391,Refugio County,Texas,16.7,62.87089013632718
08027,Custer County,Colorado,16.8,49.85422740524781
08037,Eagle County,Colorado,16.8,39.3455334987593
48043,Brewster County,Texas,16.8,56.62544169611308
48163,Frio County,Texas,16.8,82.8875171467764
48223,Hopkins County,Texas,16.8,60.55194805194806
48255,Karnes County,Texas,16.8,65.74420344053851
48277,Lamar County,Texas,16.8,60.810485810485815
08007,Archuleta County,Colorado,16.9,51.35135135135135
08055,Huerfano County,Colorado,16.9,69.26174496644295
08057,Jackson County,Colorado,16.9,43.67088607594937
13053,Chattahoochee County,Georgia,16.9,73.67816091954023
17009,Brown County,Illinois,16.9,No Data
17101,Lawrence County,Illinois,16.9,No Data
22023,Cameron Parish,Louisiana,16.9,52.976190476190474
28055,Issaquena County,Mississippi,16.9,No Data
47083,Houston County,Tennessee,16.9,No Data
47095,Lake County,Tennessee,16.9,No Data
48083,Coleman County,Texas,16.9,66.58749010292954
48125,Dickens County,Texas,16.9,57.57575757575758
48193,Hamilton County,Texas,16.9,52.56869772998806
48267,Kimble County,Texas,16.9,65.4424040066778
48279,Lamb County,Texas,16.9,69.92454186130075
48393,Roberts County,Texas,16.9,36.41025641025641
48445,Terry County,Texas,16.9,80.79226163058499
06027,Inyo County,California,17,53.51351351351351
08111,San Juan County,Colorado,17,62.65060240963856
13265,Taliaferro County,Georgia,17,100
13289,Twiggs County,Georgia,17,91.2621359223301
17159,Richland County,Illinois,17,No Data
30079,Prairie County,Montana,17,No Data
41023,Grant County,Oregon,17,No Data
41069,Wheeler County,Oregon,17,No Data
47175,Van Buren County,Tennessee,17,No Data
48033,Borden County,Texas,17,37.22943722943723
48095,Concho County,Texas,17,65.27472527472527
48123,Dewitt County,Texas,17,63.26056665118439
48129,Donley County,Texas,17,53.97111913357401
48191,Hall County,Texas,17,81.7155756207675
48359,Oldham County,Texas,17,39.38053097345133
48421,Sherman County,Texas,17,60
02066,Copper River Census Area,Alaska,17.1,No Data
06105,Trinity County,California,17.1,62.491536899119836
15005,Kalawao County,Hawaii,17.1,No Data
16085,Valley County,Idaho,17.1,15.986622073578596
